name,year,Countries,Director,Genre,Time,IMDb,id
Moana,2016,USA,"??? ????????, ???? ??????, ??? ????","??????????, ??????, ???????",107,"7,60",69
Fight Club,1999,"USA, Germany",????? ??????,"???????, ?????, ????????",131,"8,80",70
The Prestige,2006,"USA, UK",????????? ?????,"??????????, ???????, ?????",125,"8,50",71
The Dark Knight,2008,"USA, UK",????????? ?????,"??????????, ??????, ???????",152,"9,00",72
Pirates of the Caribbean: The Curse of the Black Pearl,2003,USA,??? ?????????,"???????, ??????, ???????????",143,"8,00",73
WALLúE,2008,USA,????? ???????,"??????????, ??????????, ???????????",98,"8,40",74
Warrior,2011,USA,????? ????????,"?????, ?????",140,"8,20",75
The King's Speech,2010,"UK, USA, Australia",??? ?????,"?????, ?????????, ???????",118,"8,00",76
Rush,2013,"UK, Germany, USA",??? ??????,"?????, ?????, ?????????",123,"8,10",77
Whiplash,2013,USA,?????? ??????,"?????, ??????",106,"8,50",78
Zootopia,2016,USA,"?????? ??????, ??? ???, ?????? ???","??????????, ???????, ????????",108,"8,00",79
How to Train Your Dragon,2010,USA,"??? ??????, ???? ???????","??????????, ???????, ???????",98,"8,10",80
Interstellar,2014,"USA, UK",????????? ?????,"??????????, ?????, ???????????",169,"8,60",81
Harry Potter and the Half-Blood Prince,2009,"UK, USA",????? ?????,"???????, ????????, ???????????",153,"7,60",82
Harry Potter and the Goblet of Fire,2005,"UK, USA",???? ??????,"???????, ????????, ???????????",157,"7,70",83
Harry Potter and the Order of the Phoenix,2007,"UK, USA",????? ?????,"???????, ????????, ???????????",138,"7,50",84
It's Kind of a Funny Story,2010,USA,"???? ?????, ????? ????","?????, ?????????, ???????",101,"7,20",85
The Breakfast Club,1985,USA,???? ????,?????,97,"7,90",86
Perfume: The Story of a Murderer,2006,"Germany, France, Spain",??? ??????,"???????, ?????, ????????",147,"7,50",87
Grey's Anatomy,2005 ? ...,USA,"??? ????, ????? ???????, ?????? ??????","?????, ?????????",43,"7,60",88
Game of Thrones,2011 ? ...,"USA, UK","????? ??????, ???? ??????, ????? ??????","???????, ??????, ?????",55,"9,50",89
Spotlight,2015,USA,??? ????????,"?????, ????????, ???????",129,"8,10",90
The Big Short,2015,USA,???? ??????,"?????, ???????, ?????????",130,"7,80",91
Amy,2015,UK,???? ???????,"??????????????, ?????????, ??????",127,"7,80",92
Mad Max: Fury Road,2015,"Australia, USA",?????? ??????,"??????, ??????????, ???????????",120,"8,10",93
The Revenant,2015,"USA, Hong Kong, Taiwan",????????? ???????? ?????????,"???????, ?????, ???????????",156,"8,00",94
Mr. Robot,2015 ? ...,USA,"??? ??????, ???? ??????, ????? ????","???????, ?????, ????????",49,"8,60",95
Room,2015,"Ireland, Canada, UK",??????? ??????????,?????,118,"8,20",96
Bridge of Spies,2015,"USA, Germany, India",?????? ????????,"???????, ?????, ???????",142,"7,60",97
Shrek,2001,USA,"????? ???????, ???? ???????","??????????, ???????, ???????",90,"7,90",98
Pirates of the Caribbean: At World's End,2007,USA,??? ?????????,"???????, ??????, ???????????",169,"7,10",99
Tangled,2010,USA,"?????? ?????, ?????? ??????","??????????, ??????, ???????",100,"7,80",100
Meet Joe Black,1998,USA,?????? ?????,"???????, ?????, ?????????",178,"7,20",101
Mulan,1998,USA,"???? ????????, ????? ???","??????????, ??????, ???????",84,"7,60",102
The Illusionist,2005,"USA, Checkh Republic",??? ??????,"???????, ?????, ?????????",110,"7,60",103
Harry Potter and the Deathly Hallows: Part 2,2011,"USA, UK",????? ?????,"???????, ?????, ????????",130,"8,10",104
Harry Potter and the Prisoner of Azkaban,2004,"UK, USA",???????? ??????,"???????, ????????, ???????????",142,"7,80",105
Harry Potter and the Sorcerer's Stone,2001,"UK, USA",???? ????????,"???????, ???????????, ????????",152,"7,60",106
The Hobbit: The Desolation of Smaug,2013,"USA, New Zeland",????? ???????,"???????, ???????????",161,"7,90",107
